houseID,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
55,675000,5,2.5,3200,6455,2,FALSE,0,3,9,3200,0,2009,0,98065,47.5446,-121.862,3290,7924
56,460000,4,3,2230,108900,1,FALSE,0,3,7,1410,820,1978,0,98065,47.52,-121.845,1960,65340
57,2544750,5,4.75,5410,13431,2,FALSE,0,4,10,5050,360,1941,0,98112,47.6306,-122.288,3750,11596
58,475000,5,2.5,2010,3600,1.5,FALSE,0,3,6,1510,500,1912,0,98119,47.6522,-122.366,1780,3600
59,495000,4,1.75,1600,6380,1,FALSE,0,3,8,1130,470,1959,0,98125,47.701,-122.306,1090,6380
60,345500,3,1,1350,8581,1,FALSE,0,5,6,1350,0,1944,0,98177,47.7612,-122.362,2080,8451
61,1115500,4,3.5,2830,4000,1.5,FALSE,0,3,7,1840,990,1919,2014,98144,47.5842,-122.292,2340,4000
62,434975,3,2.25,1590,9960,1,FALSE,0,3,7,1060,530,1976,0,98155,47.7742,-122.287,1860,9760
63,321000,5,2.75,3030,7000,1,FALSE,0,4,7,1540,1490,1978,0,98032,47.3661,-122.28,1790,7330
64,345000,3,1,1120,10176,1,FALSE,0,3,6,920,200,1905,0,98118,47.5235,-122.277,1350,7500
65,757500,4,2.5,3420,6845,2,FALSE,0,3,9,3420,0,2009,0,98052,47.6777,-122.156,2800,5715
66,506000,5,3,2430,8000,1,FALSE,0,4,7,1370,1060,1957,0,98008,47.603,-122.12,1770,8000
67,598000,4,2.5,2420,5118,1.5,FALSE,2,5,7,1550,870,1926,0,98126,47.5671,-122.378,1740,5750
68,311000,3,1,1640,12060,1,FALSE,0,4,7,1640,0,1960,0,98059,47.4941,-122.151,1680,9147
69,350000,3,1.75,1970,10800,1,FALSE,0,4,7,1300,670,1979,0,98056,47.5107,-122.172,1970,8768
70,588000,5,3,3110,4464,2,FALSE,0,3,8,3110,0,2007,0,98011,47.7719,-122.168,2450,4221
71,425000,2,1.75,1550,7800,1,FALSE,0,3,7,1050,500,1940,0,98136,47.5436,-122.39,1370,5000
72,110700,2,1,680,8064,1,FALSE,0,3,6,680,0,1941,0,98188,47.469,-122.298,1340,10800
73,287000,2,1.5,720,4346,1,FALSE,0,4,6,720,0,1942,0,98106,47.5225,-122.351,790,4346
74,751000,5,2.75,2860,5280,2,FALSE,0,3,9,2860,0,2006,0,98052,47.707,-122.102,3150,6442
75,502700,4,3.5,2710,14016,2,FALSE,0,4,8,2710,0,1968,0,98155,47.7601,-122.286,1590,27903
76,405600,5,1.5,2830,4000,2.5,FALSE,0,4,8,2830,0,1918,0,98118,47.5132,-122.262,1480,4000
77,375000,3,2.5,1600,2042,2,FALSE,0,3,8,1600,0,2005,0,98027,47.5341,-122.067,1445,1370
78,416000,3,2.5,1790,11542,1,FALSE,0,5,7,1190,600,1969,0,98059,47.5124,-122.16,1790,9131
79,302860,2,1,970,3279,2,FALSE,0,3,7,790,180,2007,0,98136,47.5469,-122.383,1150,1351
80,257500,1,1,710,6060,1,FALSE,0,4,6,710,0,1916,0,98118,47.5621,-122.283,1440,4545
81,552500,3,1,1430,5000,1,FALSE,0,3,7,1430,0,1949,0,98117,47.6895,-122.37,1210,5000
82,235000,3,1.75,1370,14030,1,FALSE,0,4,8,1370,0,1977,0,98092,47.2969,-122.163,2100,15260
83,975000,5,3.5,5470,35071,2,FALSE,0,3,11,4590,880,1976,0,98005,47.6368,-122.159,3600,35074
84,530000,3,2.5,2160,9063,2,FALSE,0,3,8,2160,0,1992,0,98133,47.7296,-122.333,2160,9063
85,1200000,5,3.25,4610,10576,2,FALSE,3,3,11,3310,1300,2006,0,98027,47.5373,-122.07,4042,8321
86,332220,3,1.5,2580,47480,1,FALSE,0,3,7,1360,1220,1953,0,98024,47.5333,-121.933,1760,48181
87,235000,3,1,1210,6000,1,FALSE,0,3,7,1210,0,1930,0,98178,47.4984,-122.224,1210,6000
88,265000,3,1.5,1780,10196,1,FALSE,0,4,7,1270,510,1967,0,98001,47.3375,-122.291,1320,7875
89,537000,3,2.5,1400,4800,1,FALSE,0,3,7,1200,200,1921,0,98117,47.6865,-122.379,1440,3840
90,915000,3,3.25,2660,4000,2,FALSE,0,3,9,2170,490,2003,0,98122,47.6186,-122.288,2660,4000
91,925000,4,2.25,2260,41984,1,FALSE,0,4,9,2260,0,1967,0,98033,47.6622,-122.171,2650,37318
92,3567000,5,4.5,4850,10584,2,TRUE,4,3,10,3540,1310,2007,0,98008,47.5943,-122.11,3470,18270
93,425000,3,2.5,1230,23522,1,FALSE,0,4,7,1230,0,1978,0,98059,47.515,-122.162,2340,23522
94,518000,3,2.5,1680,2096,2,FALSE,0,3,8,1380,300,2008,0,98117,47.6904,-122.37,1360,2096
95,315000,2,1,1120,7350,1,FALSE,0,3,7,1120,0,1942,0,98155,47.7648,-122.31,1320,7545
96,492650,4,1.75,2120,9786,1,FALSE,0,3,8,1640,480,1967,0,98177,47.7753,-122.365,2310,8787
97,215000,3,2,1760,9282,1,FALSE,0,5,7,1100,660,1947,0,98001,47.3413,-122.29,1730,7500
98,315000,3,1,890,5200,1,FALSE,0,3,7,890,0,1957,0,98118,47.559,-122.277,1420,6000
99,319950,2,1,920,8341,1,FALSE,0,3,7,920,0,1939,0,98146,47.5015,-122.38,2330,9792
100,465000,3,2.5,2714,17936,2,FALSE,0,3,9,2714,0,2005,0,98001,47.3185,-122.275,2590,18386
101,428000,3,2.5,1650,2201,3,FALSE,0,3,8,1650,0,2007,0,98133,47.7108,-122.333,1650,1965
102,270000,3,2.25,1750,8400,1,FALSE,0,3,7,1350,400,1965,0,98188,47.4571,-122.272,2020,9110
103,510000,4,3.25,1980,9988,1,FALSE,0,3,8,1340,640,1980,0,98052,47.6883,-122.111,1980,8972
104,473000,2,1,940,4000,1,FALSE,0,3,6,720,220,1942,0,98199,47.6488,-122.385,1180,6000
105,315000,2,1,860,8308,1,FALSE,0,3,7,860,0,1948,0,98146,47.508,-122.378,1200,8308
106,260000,3,2.5,1670,5797,2,FALSE,0,3,7,1670,0,1988,0,98030,47.3505,-122.179,1670,6183
107,1240000,5,3.5,5430,10327,2,FALSE,2,3,10,4010,1420,2007,0,98006,47.5476,-122.116,4340,10324
108,410000,3,1.75,2160,4000,1,FALSE,0,3,7,1080,1080,1953,0,98144,47.5721,-122.309,1260,3200
109,474000,3,1.75,1530,8000,2,FALSE,0,3,7,1530,0,1978,0,98052,47.6971,-122.13,1530,7500
110,455000,3,2.5,1870,7344,1,FALSE,0,3,8,1470,400,1980,0,98034,47.7265,-122.206,1930,7344
111,415000,3,1.75,1270,4800,1,FALSE,0,3,7,1270,0,1952,2014,98126,47.5362,-122.376,1220,4800
112,169950,3,1,840,8470,1,FALSE,0,4,6,840,0,1961,0,98023,47.3275,-122.338,840,8450
113,638000,3,2.5,2170,5000,2,FALSE,0,3,9,2170,0,2003,0,98029,47.5453,-121.996,2170,5000
114,382500,3,2,1150,6249,1,FALSE,0,3,7,1150,0,1952,2006,98155,47.7489,-122.284,2470,7751
115,535100,3,2.25,2070,7207,1,FALSE,0,3,8,1720,350,1973,0,98177,47.7735,-122.371,2350,7980
116,322500,4,2.25,2140,9377,2,FALSE,0,4,8,2140,0,1986,0,98092,47.2649,-122.218,2030,7846
117,528000,3,2.5,2810,4932,2,FALSE,0,3,8,2810,0,2003,0,98011,47.7739,-122.227,2470,4919
118,299000,4,2.25,2050,26000,2,FALSE,0,4,8,2050,0,1977,0,98042,47.3423,-122.063,2330,31100
119,625000,4,2,1760,5307,1.5,FALSE,0,4,7,1170,590,1948,0,98105,47.6714,-122.28,1850,6600
120,NA,3,2.5,2390,15084,2,FALSE,0,3,8,2390,0,2000,0,98010,47.3389,-122.048,1850,17494
121,675000,3,2,1010,5973,1,FALSE,0,5,6,1010,0,1942,0,98033,47.6652,-122.202,1920,6015
122,419354,5,2.75,2710,4500,2,FALSE,0,3,8,2710,0,2014,0,98038,47.3547,-122.062,2710,4626
123,935000,2,2.5,1680,977,3,FALSE,0,3,9,1680,0,2009,0,98119,47.632,-122.361,1680,977
124,435000,4,2,2630,9663,1,FALSE,1,4,8,1330,1300,1956,0,98056,47.4841,-122.19,1900,8894
125,458000,4,3,3280,62726,1.5,FALSE,0,3,7,3280,0,1979,0,98077,47.7509,-122.056,3210,73616
126,265000,3,2.5,1410,2500,2,FALSE,0,3,7,1410,0,2006,0,98146,47.5132,-122.358,1290,5190
127,229950,3,0.75,1030,12700,1,FALSE,0,4,5,1030,0,1944,0,98032,47.3877,-122.236,1140,6955
128,790000,4,2.5,3500,7519,2,FALSE,0,3,9,3500,0,2004,0,98053,47.6799,-122.024,3920,7982
129,805000,4,2.5,2910,9000,2,FALSE,0,3,9,2910,0,1989,0,98006,47.5451,-122.142,2530,9000
130,2700000,4,4,7850,89651,2,FALSE,0,3,12,7850,0,2006,0,98027,47.5406,-121.982,6210,95832
131,453000,4,1.75,2120,7420,1,FALSE,0,4,7,1060,1060,1956,0,98008,47.6019,-122.13,1540,7420
132,790000,5,3.25,3030,20446,2,FALSE,2,3,9,2130,900,1976,0,98008,47.6133,-122.106,2890,20908
133,382000,3,2.25,1800,4500,2,FALSE,0,3,7,1800,0,1995,0,98019,47.7462,-121.98,1760,6589
134,895000,4,2.5,2850,8526,2,FALSE,0,3,9,2850,0,1998,0,98033,47.6747,-122.191,2440,7072
135,1240000,5,4,4410,14380,2,FALSE,0,3,11,4410,0,2006,0,98052,47.6463,-122.121,2720,11454
136,379950,4,2.5,2680,4500,2,FALSE,0,3,8,2680,0,2011,0,98038,47.3561,-122.056,2010,4500
137,685000,3,2.5,3450,8000,3,FALSE,0,4,8,2970,480,1927,1975,98116,47.5605,-122.402,1880,6135
138,510000,3,1.5,1730,6240,1,FALSE,1,3,8,1000,730,1954,0,98136,47.5282,-122.391,1620,6240
139,270000,3,2.25,1400,3825,2,FALSE,0,3,7,1400,0,2012,0,98042,47.3596,-122.082,2110,3825
140,295000,3,2.5,1660,4898,2,FALSE,0,3,7,1660,0,2011,0,98038,47.3588,-122.044,1810,4462
141,775000,4,2.5,2070,8473,1,FALSE,0,4,8,1250,820,1976,0,98033,47.6608,-122.19,2070,9499
142,250000,3,1.75,1200,24805,1,FALSE,0,3,6,1200,0,1984,0,98031,47.4236,-122.195,2150,4339
143,392500,2,1,1050,4125,1,FALSE,0,4,7,1050,0,1909,0,98144,47.5736,-122.307,1650,4125
144,740000,2,2.5,2170,8678,1,FALSE,0,3,8,2170,0,2008,0,98053,47.7161,-122.014,2170,5890
145,182568,4,1.5,1500,2106,2,FALSE,0,3,7,1500,0,2014,0,98108,47.5669,-122.297,1490,2175
146,265000,3,1.75,1630,5999,1.5,FALSE,0,4,7,1630,0,1985,0,98198,47.3816,-122.313,1540,7500
147,350000,3,1,1240,10800,1,FALSE,0,5,7,1240,0,1959,0,98056,47.5233,-122.185,1810,10800
148,752000,4,2.5,2570,8178,1,FALSE,2,3,8,1710,860,1961,0,98118,47.5483,-122.261,2050,7500
149,383000,4,2.5,2050,4953,2,FALSE,0,3,9,2050,0,2014,0,98038,47.3448,-122.024,2340,6175
150,230000,3,1,1020,12289,1,FALSE,0,4,7,1020,0,1967,0,98058,47.4235,-122.155,1300,9894
151,230000,3,1.75,1340,8250,1,FALSE,0,3,7,1100,240,1985,0,98042,47.3668,-122.09,1540,7860
152,290000,3,2.5,1600,6848,2,FALSE,0,3,7,1600,0,2000,0,98001,47.3303,-122.271,1700,7210
153,299500,3,1,1380,10875,1,FALSE,0,3,7,1380,0,1977,0,98045,47.4653,-121.745,1040,10875
154,346500,3,3.25,1570,2048,2,FALSE,0,3,8,1290,280,2006,0,98126,47.548,-122.375,1570,2006
155,350000,3,2.5,1640,10424,2,FALSE,0,3,7,1640,0,1988,0,98019,47.7345,-121.977,1560,10101
156,610000,4,3,2450,10117,1,FALSE,0,5,8,1580,870,1967,0,98006,47.5694,-122.132,2530,10125
157,637000,4,2.5,1710,5000,1,FALSE,0,3,8,1110,600,1979,0,98115,47.6772,-122.285,1750,5304
159,NA,4,2.25,3060,48787,2,FALSE,0,3,8,3060,0,1992,0,98010,47.3397,-121.918,2090,48787
160,426250,4,1,1610,6000,1.5,FALSE,0,4,7,1510,100,1905,0,98118,47.5261,-122.266,1430,6000
161,536000,3,2.5,1900,6224,2,FALSE,0,3,7,1900,0,2005,0,98075,47.5941,-122.004,2260,5450
162,268500,4,1.75,1420,7500,1,FALSE,0,4,7,1080,340,1981,0,98031,47.4025,-122.176,1500,7260
163,771000,4,2,2220,3760,1.5,FALSE,0,4,7,1370,850,1929,0,98117,47.6876,-122.368,1620,3760
164,501000,3,1,1160,4360,1,FALSE,0,4,8,1160,0,1929,0,98105,47.6718,-122.291,1810,4360
165,221000,3,1,1150,7260,1,FALSE,0,3,7,1150,0,1959,0,98133,47.7344,-122.333,1200,7888
166,370228,4,3,2050,4000,2,FALSE,0,3,8,2050,0,2014,0,98001,47.3525,-122.275,2050,4000
167,249950,4,1.75,1620,10530,1,FALSE,0,3,7,1620,0,1968,0,98030,47.3808,-122.211,1890,9975
168,695000,4,2.5,2650,9990,2,FALSE,0,3,10,2650,0,1990,0,98029,47.5605,-122.016,2710,8012
169,190000,3,1,1510,8760,1,FALSE,0,4,6,1510,0,1946,0,98002,47.3015,-122.216,1040,7828
170,388500,4,2.5,2718,6197,2,FALSE,0,3,8,2718,0,2006,0,98092,47.3255,-122.164,2667,5000
171,640000,4,2.5,2970,34981,2,FALSE,0,3,9,2970,0,1998,0,98077,47.7365,-122.037,3170,30277
172,850000,5,2.5,2800,11325,1,FALSE,0,4,8,1400,1400,1970,0,98005,47.6166,-122.172,2510,13700
173,204000,3,1,980,8000,1,FALSE,0,4,6,980,0,1954,0,98198,47.42,-122.317,1240,8000
174,550000,4,1.75,2550,39460,1,FALSE,0,3,8,1890,660,1982,0,98072,47.7707,-122.123,2560,38638
175,475000,2,1.75,1490,224334,1,FALSE,2,3,8,1490,0,1983,0,98092,47.2645,-122.163,2350,213879
176,387000,2,1.5,1010,948,3,FALSE,0,3,8,1010,0,1999,0,98103,47.6529,-122.355,1330,1318
177,502000,4,1.5,1700,8400,1,FALSE,0,3,7,1700,0,1953,0,98177,47.7677,-122.359,1750,8475
178,430000,2,1.75,1840,14874,1,FALSE,2,3,8,1300,540,1952,0,98166,47.4382,-122.348,2920,15084
179,515500,4,2.75,2830,8126,2,FALSE,0,3,8,2830,0,2005,0,98059,47.4863,-122.14,2830,7916
180,362500,3,1,960,5424,1.5,FALSE,0,3,6,960,0,1916,0,98115,47.6997,-122.32,1550,5687
181,562000,3,3,3290,80471,2,FALSE,2,4,8,2330,960,1975,0,98070,47.504,-122.464,1830,30494
182,292000,3,1.75,1090,4500,1.5,FALSE,0,5,8,1090,0,1929,0,98118,47.5157,-122.256,1640,5225
183,NA,3,1.75,2100,8298,1,FALSE,0,4,7,1230,870,1952,0,98166,47.4601,-122.36,1700,10830
184,280000,2,1,850,16400,1,FALSE,0,3,6,850,0,1923,0,98168,47.4889,-122.299,1100,14459
185,89000,3,1,900,4750,1,FALSE,0,4,6,900,0,1969,0,98023,47.3026,-122.363,900,3404
186,530000,4,2.5,2950,4836,2,FALSE,0,3,7,2950,0,2006,0,98059,47.479,-122.129,2120,4750
187,840000,3,2.5,3050,33920,1,FALSE,0,3,8,3050,0,2004,0,98052,47.7034,-122.072,1970,60984
188,567500,3,1.75,2570,14033,1,FALSE,2,4,8,2570,0,1953,0,98166,47.4335,-122.338,2550,16100
189,355000,3,1,1360,8968,1,FALSE,0,3,7,1360,0,1956,0,98125,47.7105,-122.289,1490,7355
190,225000,3,1.75,1580,14400,1,FALSE,0,4,7,1580,0,1981,0,98001,47.2598,-122.281,1480,9600
191,302000,2,1.75,1170,8200,1,FALSE,0,4,6,780,390,1937,0,98003,47.3263,-122.305,1780,9020
192,6.00E+05,3,2.25,2230,9053,2,FALSE,0,4,9,2230,0,1987,0,98007,47.6594,-122.144,2390,8038
193,590000,3,1.75,1560,242629,1,FALSE,0,3,7,1560,0,1981,0,98053,47.6493,-121.956,2320,220654
194,350000,3,2.75,1650,5700,2,FALSE,0,4,7,1650,0,1988,0,98166,47.4563,-122.348,1320,7620
195,202500,3,2,1540,8316,1,FALSE,0,5,6,1540,0,1954,0,98002,47.323,-122.216,1250,8316
196,225000,3,1.75,1350,9793,1,FALSE,0,4,7,1350,0,1968,0,98022,47.1981,-122.003,1690,8080
197,1059500,5,3.25,3230,3825,2,FALSE,0,3,9,2480,750,2014,0,98117,47.6785,-122.392,1480,5100
198,460000,3,2.25,2350,10450,1,FALSE,0,3,8,1390,960,1977,0,98028,47.7433,-122.259,2250,10450
199,563500,4,1.75,2085,174240,1,FALSE,0,3,7,1610,475,1964,0,98024,47.5753,-121.95,2690,174240
200,1075000,5,3.5,3230,7560,2,FALSE,0,3,10,3230,0,2007,0,98052,47.6467,-122.118,3230,8580
201,276000,3,1.75,2240,9200,1,FALSE,0,4,7,1440,800,1968,0,98001,47.2635,-122.284,1740,9600
202,293000,4,1,1130,8308,1.5,FALSE,0,4,6,1130,0,1944,0,98166,47.4669,-122.355,1130,8652
203,707900,3,1,1750,5355,2,FALSE,0,4,7,1750,0,1929,0,98115,47.6792,-122.31,2240,4590
204,625000,4,2.25,2070,7200,1,FALSE,0,5,8,1390,680,1977,0,98033,47.697,-122.169,2110,8400
205,1065000,4,2.25,3240,12930,2,FALSE,0,4,9,2730,510,1968,0,98040,47.5373,-122.22,2610,12884
206,898000,3,2.25,2650,12845,1,FALSE,3,3,9,1770,880,1977,0,98034,47.7209,-122.256,2650,12902
207,319950,2,1,1070,5824,1,FALSE,2,5,7,1070,0,1949,0,98178,47.507,-122.242,2090,7980
208,420000,3,2.5,1509,1114,3,FALSE,0,3,8,1509,0,2014,0,98133,47.7049,-122.34,1509,2431
209,605000,4,1.75,2250,10108,1,FALSE,0,4,8,2250,0,1967,0,98008,47.5922,-122.118,2050,9750
210,782000,4,2.5,2830,20345,2,FALSE,0,3,10,1980,850,1979,0,98004,47.6462,-122.191,2830,13732
211,750000,2,1.5,1300,7632,1,FALSE,2,3,7,1300,0,1943,0,98122,47.6134,-122.308,1420,1676
212,520000,2,1.5,1840,3825,1,FALSE,0,3,8,1040,800,1928,0,98117,47.6808,-122.38,1290,5100
213,470000,4,2,2410,4680,2,FALSE,0,3,9,2410,0,1974,0,98008,47.6234,-122.113,1910,4611
214,725000,4,1.75,2000,3750,1,FALSE,0,5,8,1120,880,1950,0,98117,47.6816,-122.374,1370,5000
215,259950,4,2,1610,6650,1,FALSE,0,3,7,1610,0,1989,0,98023,47.3085,-122.358,1960,6650
216,1300000,3,2.5,3350,7752,1,FALSE,0,3,9,2180,1170,2009,0,98008,47.6263,-122.099,2570,7988
217,235000,4,2.5,1810,39639,1,FALSE,0,3,7,1230,580,1970,0,98042,47.3472,-122.11,1810,44866
218,475000,4,2.5,2320,10046,2,FALSE,0,3,7,2320,0,2006,0,98065,47.5406,-121.887,2320,5253
219,520000,3,2.5,2160,4297,2,FALSE,0,3,9,2160,0,1999,0,98029,47.5476,-122.012,2160,3968
220,226500,3,1.75,1640,10762,1,FALSE,0,3,7,1130,510,1988,0,98042,47.3586,-122.074,1680,10259
221,1210000,4,2.75,3650,6982,2,FALSE,2,4,9,2530,1120,1951,2003,98115,47.6756,-122.275,3140,7894
222,1780000,4,3.25,3950,10912,2,FALSE,0,3,10,3950,0,2003,0,98004,47.5877,-122.196,3000,10998
223,380000,2,1,760,4000,1.5,FALSE,0,3,6,760,0,1910,0,98108,47.5462,-122.32,1130,4000
224,NA,3,1.75,1560,7930,2,FALSE,0,4,7,1560,0,1980,0,98059,47.4779,-122.161,1720,8073
225,1135000,4,2.5,3370,10602,2,FALSE,0,3,10,3370,0,1999,0,98007,47.6591,-122.147,2950,9949
226,555000,4,2.5,2870,6776,2,FALSE,0,3,8,2870,0,2004,0,98065,47.539,-121.878,2770,6658
227,1190000,4,2.5,3480,12164,1.5,FALSE,0,4,11,3480,0,1984,0,98005,47.6404,-122.171,3960,16855
228,245000,5,1.5,2000,8100,1.5,FALSE,0,3,6,2000,0,1946,0,98168,47.4945,-122.304,960,9239
229,NA,5,3.5,3270,4080,2,FALSE,0,3,9,2180,1090,2011,0,98115,47.6754,-122.327,1410,4080
230,650000,4,2.5,2630,28298,2,FALSE,0,3,8,2630,0,1996,0,98053,47.6314,-121.968,2840,26071
231,501000,2,2,1300,2500,1,FALSE,0,4,7,770,530,1926,0,98117,47.6831,-122.373,1160,5000
232,555000,4,2.5,2920,24074,2,FALSE,0,3,9,2920,0,1997,0,98038,47.381,-122.056,2760,26023
233,332500,3,1.5,1500,6332,1,FALSE,0,3,7,1500,0,1953,0,98125,47.7274,-122.312,1500,6337
234,1205000,5,3.5,3220,8000,2,FALSE,0,3,9,2900,320,2008,0,98033,47.6834,-122.2,2100,9680
235,1.00E+06,5,1,2010,5210,1.5,FALSE,0,3,9,1890,120,1927,0,98119,47.6501,-122.37,2330,5000
236,1050000,4,3.25,4400,16625,2,FALSE,0,3,11,4400,0,2003,0,98075,47.5868,-121.968,4440,15523
237,265000,3,1,1400,9460,1,FALSE,0,3,7,1060,340,1961,0,98168,47.5119,-122.321,1570,7700
